"Rsq","F","P","lambda.input","lambda.est.x","lambda.est.xy","slope","beta"
0.616864780859375,48.3013372336018,1.01594264112492e-07,0,1e-06,1e-06,1.06776497367593,1
0.0230964482487093,0.70927518506728,0.406348615232976,0,0.382954961494328,0.166849595793481,0.178629783486994,0
0.0290894887243892,0.89883120184281,0.350670290730836,0,0.382954961494328,1e-06,0.185502742065805,0.25
0.231095902441782,9.01656929033146,0.0053526627802003,0,0.382954961494328,0.142006334791291,0.502052390958563,0.5
0.512014638850846,31.4772540089178,4.15990632918195e-06,0,0.382954961494328,1e-06,0.932446104331621,0.75
0.533399914344127,34.2948874684211,2.08550710345534e-06,0,0.382954961494328,1e-06,0.845253886560009,1
0.0732985072424645,2.37288407805476,0.133941654548973,0,1e-06,0.264543557600773,0.191946234611897,0
0.275978402605044,11.4352280483629,0.00201891497339379,0,1e-06,1e-06,0.459649668791456,0.25
0.350485393989738,16.1883377562198,0.000357975555553391,0,1e-06,1e-06,0.616318655481653,0.5
0.36241586315372,17.0526135552725,0.000267201966157149,0,1e-06,1e-06,0.802885194833728,0.75
0.605075270517621,45.9638426272278,1.6147296255653e-07,0,1e-06,1e-06,1.14007643026289,1
0.0724755361928605,2.34416036517384,0.136231339927073,0,0.443337319952435,1e-06,0.206155269962096,0
0.0580803389164475,1.84985008752128,0.183934554678216,0,0.443337319952435,1e-06,0.269759476175355,0.25
0.422993806748378,21.9925095273934,5.58919614075393e-05,0,0.443337319952435,0.677119386981245,0.689238366890838,0.5
