"lambda.input","lambda.est","kappa","kappa.z","CI.lower","CI.upper"
0.15,0.180196704905809,0.0128547342644436,NA,0.0668827465488147,0.351607843414837
0.15,0.179418444687163,0.0303011494596695,NA,0.0696815439927844,0.338202360701142
0.15,0.108204606623555,0.0147785805668563,NA,0.0411001722758393,0.215167339669913
0.15,0.231164984306099,0.0608669334922413,NA,0.125163228757977,0.366899867362118
0.15,0.138318754801704,0.0207370707398553,NA,0.0397657829819703,0.292292183305139
0.15,0.0977035452131366,0.0567655083513981,NA,0.0326660166340751,0.217259215637492
0.15,0.228897765907591,0.055271659792244,NA,0.106815923872611,0.382610243788539
0.15,0.208741467163017,0.0375930954862702,NA,0.0938983605596312,0.353112701680273
0.15,0.253143958846332,0.0657357492628257,NA,0.131082742231127,0.414786796742591
0.15,0.121180847225157,0.0444002866558438,NA,0.0539074598018156,0.244722676981297
0.15,0.0791645986079191,0.00253195545940969,NA,0.0124068250335043,0.21035632520095
0.15,0.196351677983439,0.0300246090897038,NA,0.0841978611794106,0.355871579902026
0.15,0.0932938150277722,0.0398166932332238,NA,0.0173301091445464,0.210679928676434
0.15,0.0947114666128707,0.0365131610050933,NA,0.0315800924884618,0.204698840396823
0.15,0.151635772830454,0.0402063386906838,NA,0.0455327329774663,0.316737741749373
0.15,0.105335025092559,0.03173912452356,NA,0.0161301529149925,0.256033893593959
0.15,0.134752063385663,0.028006716878996,NA,0.0536233293562663,0.26606841825807
0.15,0.147136688689778,0.0276377167693141,NA,0.0577129439689806,0.278580086393294
0.15,0.157677273473785,0.0416337292835191,NA,0.0758419335945098,0.279954225198263
0.15,0.0859989331790526,0.0246406305391126,NA,0.0302238096554178,0.184425660392194
0.15,0.192080234173525,0.0422222863449899,NA,0.0971211533952779,0.323499367293034
0.15,0.0644308139487401,0.0316947316870486,NA,0.0112104310124563,0.170177312497269
0.15,0.162170351014213,0.0476944632900259,NA,0.061071268204779,0.316995470749068
0.15,0.136582770210957,0.0323947987479521,NA,0.0489400622530061,0.279671409598424
0.15,0.239215366083995,0.0628700647551909,NA,0.0799886980579205,0.432199741021588
0.15,0.180163170180449,0.0486929825700939,NA,0.0709830592707794,0.324639564886803
0.15,0.17441183069679,0.0895456205431184,NA,0.0638303246200521,0.337098062634486
0.15,0.273508054502118,0.0551825186694378,NA,0.155093430812609,0.42370324141023
0.15,0.165833496635225,0.0164410008337688,NA,0.0445019958483969,0.349316747713501
0.15,0.230427897804283,0.0305648844115901,NA,0.101627944082932,0.393712593046695
0.15,0.23615609301576,0.0212161785183538,NA,0.101025729913774,0.391094403178698
0.15,0.178131273348996,0.0703735788577464,NA,0.0711642506020654,0.327932318309694
0.15,0.14704144843462,0.0567322666881792,NA,0.0736761656110042,0.257307180725446
0.15,0.113837182833005,0.0473596382584519,NA,0.0231677144849003,0.256774246118986
0.15,0.123180161236284,0.0277918735333332,NA,0.0358758210625615,0.257032560739539
0.15,0.0784732526511284,0.0205125183716388,NA,0.0103686300785614,0.220994353402575
0.15,0.229634326004681,0.0428163002986124,NA,0.120425447516536,0.365902859290607
0.15,0.158174719816223,0.043722221558258,NA,0.0333660611135736,0.350448493505173
0.15,0.230831036629896,0.0876075394133329,NA,0.110753513551055,0.404877367628849
0.15,0.26718725990727,0.0437698553515024,NA,0.155272967221065,0.40828937256502
0.15,1e-06,0.0310102184448994,NA,0,0.0726311929144399
0.15,0.147520623799002,0.0356936704470729,NA,0.0490672835937222,0.30603194372797
0.2,0.280999962470268,0.0513437892642418,NA,0.147699716826773,0.4360290752596
0.2,0.307766875215379,0.0577299028055256,NA,0.175547485412717,0.458762382236853
0.2,0.27597987255142,0.0534570231726901,NA,0.152445913215662,0.421879339310525
0.2,0.254107255888752,0.0521803400264097,NA,0.141128359908816,0.393746062591858
0.2,0.102766373483959,0.0321981003084986,NA,0.0287245975702496,0.238114533432874
0.2,0.115818031283297,0.0418520225378346,NA,0.0362553107570989,0.244328541408954
0.2,0.224798800608164,0.0408281380827639,NA,0.107990775492026,0.372818044298963
0.2,0.322916352766087,0.0473870043446295,NA,0.181025838452774,0.480389782451756
0.2,0.0532351854416661,0.0131855691432313,NA,0,0.207654840993956
