"lambda.input","lambda.est","kappa","kappa.z"
0.1,0.0049117092652761,0.072092775453401,-1.2149
0.1,1e-06,0.025128483319763,-1.4928
0.1,1e-06,0.141816138097943,0.19
0.1,1e-06,0.0684933251524307,-0.6811
0.1,0.0405394138304707,0.0700934754924072,-0.2726
0.1,1e-06,0.155094699470834,0.4211
0.1,0.329934050032591,0.059854137287162,0.8571
0.1,0.0562916470138423,0.0461974249781926,0.4268
0.1,1e-06,0.0705186343835292,0.5161
0.1,1e-06,0.0642527035679754,0.297
0.1,1e-06,0.0167726099008621,-1.4754
0.1,0.0484296196645398,0.079974047704256,-0.5926
0.1,1e-06,0.0625433612411677,1.3575
0.1,0.104819294325826,0.0280926495083109,-1.1493
0.1,1e-06,0.0156890184999837,0.0128
0.1,1e-06,0.112116364524037,1.1885
0.1,1e-06,0.139892766303401,0.4523
0.1,1e-06,0.0686519258365863,-0.1176
0.1,1e-06,0.0155463274478746,-2.8075
0.1,0.108715333236072,0.0114431185950167,-1.9711
0.1,0.0623781372561032,0.0471014951970747,2.4011
0.1,1e-06,0.0933198069271918,0.8901
0.1,1e-06,0.103744449545692,-1.1911
0.1,0.14526773687991,0.0867647548001263,0.6484
0.1,1e-06,0.019618547307721,-0.992
0.1,1e-06,0.106638596109192,0.6982
0.1,0.453432518912182,0.158938069934068,0.9484
0.1,1e-06,0.20849739756963,1.5864
0.1,0.140620907842735,0.0953211784637209,-0.0224
0.1,0.02360595160495,0.0820127851762427,0.0802
0.1,0.176992622064349,0.20356986270027,1.8367
0.1,0.126817907638891,0.13019925446325,1.0487
0.1,1e-06,0.137265310343531,1.0908
0.1,1e-06,0.0414279627376492,-0.0404
0.1,1e-06,0.162720908715521,1.3042
0.1,1e-06,0.0700690478407497,-0.4101
0.1,0.205711620318705,0.0897037596898242,0.4296
0.1,1e-06,0.118863469680541,0.9486
0.1,0.246076577620245,0.0690897037376744,0.9826
0.1,1e-06,0.130338844458555,0.2186
0.1,0.242045176236261,0.0897697998308228,-0.0969
0.1,1e-06,0.0540124849716661,-0.4962
0.1,0.182927173130936,0.12465166484781,1.0361
0.1,0.29428409828499,0.12147904496816,1.3729
0.1,0.0457174412489631,0.0499165641867438,0.9569
0.1,1e-06,0.0555039817980759,-0.1764
0.1,0.224295766610261,0.0888783295204376,0.4569
0.1,1e-06,0.117583710005177,0.5729
0.1,0.0547124671124188,0.209772144815252,0.4461
0.1,1e-06,0.0861618495376286,1.0355
0.15,0.175593409558592,0.179826675798276,1.5088
0.15,0.221177652387962,0.0859639782214796,0.7223
0.15,0.184520616190035,0.0164190987959725,-0.5202
0.15,0.0238170878885168,0.0867971633105682,-0.9786
0.15,1e-06,0.0380147440940392,-1.2002
0.15,0.258109562671759,0.0449340577232716,-0.2317
0.15,0.0402337693186748,0.0414450636341602,-0.4138
0.15,1e-06,0.140558233880419,1.1007
0.15,0.0566244295112925,0.144519032033346,-0.0389
0.15,1e-06,0.0642737602270231,0.0653
0.15,0.0514146689736481,0.0646077824984041,-0.4121
0.15,0.416429034437582,0.183089928170421,0.9859
0.15,1e-06,0.15938991067895,0.0976
0.15,1e-06,0.101595784599305,-0.0242
0.15,1e-06,0.0763421929914529,0.346
0.15,0.0351365829061206,0.0303292271214817,-0.3553
0.15,0.107147234728166,0.0528052746462803,0.445
0.15,0.266598751187266,0.117763756758606,-0.043
0.15,0.0681699796629982,0.0494937119398737,0.1562
0.15,0.0463584613028775,0.0346915279143269,-0.2225
0.15,0.0948666341009305,0.0649451872147037,-0.8777
0.15,1e-06,0.119416068943625,0.9848
0.15,1e-06,0.098408885420659,-0.0608
0.15,1e-06,0.126973034659921,0.9425
0.15,1e-06,0.0596025725331266,-1.8905
0.15,0.28091971580426,0.238100806083332,2.2498
0.15,0.189157027553307,0.0201739635194256,-0.6001
0.15,0.334201062321686,0.0879319924373453,-0.3843
0.15,1e-06,0.0125116288870051,-1.2124
0.15,1e-06,0.0733341267169661,-1.3143
0.15,0.424016223294904,0.119016546746542,0.4834
0.15,0.214690023184393,0.00249346955439285,-1.5016
0.15,1e-06,0.0700396277778242,0.7269
0.15,1e-06,0.0929611195890196,0.0784
0.15,0.107556042152417,0.0429985809730315,-1.3172
0.15,0.138275448887985,0.0885855538764829,0.5767
0.15,1e-06,0.0652683495804929,0.9063
0.15,1e-06,0.112368034897076,-0.6679
0.15,1e-06,0.173718875870504,0.2728
0.15,1e-06,0.165214558972494,0.7728
0.15,1e-06,0.112536835256118,1.1008
0.15,0.271252326884124,0.116128365873926,1.7091
0.15,0.0566607079702413,0.0711632171767508,-0.0095
0.15,1e-06,0.038131528655752,-0.1279
0.15,0.32623612286971,0.226651665187782,1.8947
0.15,1e-06,0.107948080424236,0.3308
0.15,1e-06,0.112747267517976,0.2868
0.15,1e-06,0.0976903944081609,0.3631
0.15,0.254833033570365,0.0941890347658653,1.2299
0.15,0.0602961354711082,0.099496159181097,1.1196
0.2,0.103761244680294,0.0544260441683976,-0.2513
0.2,1e-06,0.158316252139056,1.6318
0.2,0.168555369212742,0.0775428129276063,0.8641
0.2,1e-06,0.0691953916465912,-0.6654
0.2,0.409555915895189,0.104808519625061,2.4295
0.2,1e-06,0.0487017666467808,-0.4571
0.2,0.324379319567027,0.132799238983478,1.4301
0.2,1e-06,0.079614789113826,-0.3942
0.2,0.202269728885641,0.0484676287884854,0.8258
0.2,1e-06,0.0672266426155997,0.1293
0.2,0.0352547628934848,0.0863202933371685,1.0086
0.2,0.646364709068249,0.166201387323792,2.1168
0.2,0.165428105253004,0.140314239011501,-1.058
0.2,1e-06,0.0878083868657824,-1.4466
0.2,0.266883168711839,0.143554910887564,0.9623
0.2,0.16285002100488,0.185625584223193,1.0314
0.2,1e-06,0.0463443954403729,-1.1771
0.2,1e-06,0.0557328964731172,0.8223
0.2,0.015245300966003,0.063674998047443,-0.5161
0.2,0.147347675866814,0.153843638264823,0.8991
0.2,1e-06,0.134964077197505,-0.2835
0.2,1e-06,0.0170352600298775,-0.6291
0.2,1e-06,0.0098180457814476,-0.8294
0.2,0.344737783730915,0.186234559072617,1.6357
0.2,0.0835537454328666,0.113076097322373,0.4369
0.2,0.0130111745451553,0.019270612623625,-1.4816
0.2,0.276254454098779,0.0934441809940115,0.6652
0.2,0.0636789258031507,0.172298374644302,-0.0562
0.2,0.295684196514045,0.0908038620636405,1.6285
0.2,1e-06,0.0802578512945946,-0.3118
0.2,0.00287800273141406,0.00878008387331165,0.0614
0.2,1e-06,0.0123712556697154,-0.0794
0.2,0.492395367668958,0.0698044667851153,-0.3469
0.2,1e-06,0.0950839488788898,-0.3399
0.2,1e-06,0.0189515436058482,-0.6298
0.2,1e-06,0.00975259873966645,-1.4896
0.2,1e-06,0.0202103315540394,1.6449
0.2,0.137131748399338,0.103310663560029,-0.0774
0.2,0.326912458909527,0.164618488818972,2.331
0.2,0.201141641018406,0.088321148692581,-0.8236
0.2,1e-06,0.071626071104405,0.6247
0.2,0.334844977433329,0.1671427199235,0.7184
0.2,0.209396262768159,0.105003065327322,0.5694
0.2,0.089170750968625,0.119730536172587,0.0343
0.2,0.00217312862110549,0.0706697620393956,0.6337
0.2,1e-06,0.046835842178422,0.5348
0.2,0.234348946510371,0.205906969395915,1.868
0.2,0.0779948249163967,0.0165114652388217,-0.8872
0.2,0.389194922371729,0.112030432309855,-0.4355
0.2,0.158223551334538,0.127257084865098,0.6874
0.25,0.0651819658673624,0.0552390756293389,-1.9285
0.25,0.473085151243706,0.195664125593782,2.5633
0.25,1e-06,0.0712053161679917,0.1077
0.25,0.154377059602914,0.0600073977733489,-1.3785
0.25,1e-06,0.0423091009119938,0.3736
