lambda.input,lambda.est,kappa,kappa.z,CI.lower,CI.upper
0.2,0.269007995,0.017835448,0.296676687,0.178728082,0.376449055
0.2,0.227831394,0.027027514,1.19736226,0.127991739,0.347410488
0.2,0.244054517,0.035101856,1.453626653,0.16048381,0.342852961
0.2,0.166782186,0.052021155,1.160075917,0.080471751,0.27758729
0.2,0.16093655,0.028847591,0.871791108,0.080103977,0.26324341
0.2,0.094468496,0.039506624,2.133971749,0.036568506,0.183714697
0.2,0.235267701,0.023693004,1.275591306,0.142263991,0.346768828
0.2,0.128165377,0.035054811,1.46960008,0.070253895,0.210066134
0.2,0.158373404,0.020802544,0.485548376,0.089367428,0.254541111
0.2,0.231721977,0.040563594,1.155253519,0.123559914,0.357300017
0.2,0.148932774,0.029591613,1.005859161,0.083281789,0.241783846
0.2,0.174067066,0.013742762,-1.106660011,0.096876714,0.274223938
0.2,0.199509381,0.049441618,2.056150013,0.110768635,0.308473022
0.2,0.180279689,0.024492467,-0.064662046,0.10722731,0.274946398
0.2,0.11386221,0.030700248,-0.260491943,0.055781016,0.196615387
0.2,0.250321876,0.02527731,0.748333677,0.157410163,0.35836366
0.2,0.12512975,0.033687993,1.011434957,0.053576084,0.227122034
0.2,0.245445857,0.010477927,0.109000511,0.146070518,0.364799648
0.2,0.208065531,0.034420865,1.493642311,0.120018023,0.31737604
0.2,0.181892111,0.010230849,0.225939098,0.106732598,0.281498055
0.2,0.099764449,0.004815899,-0.384821191,0.03475907,0.208337167
0.2,0.155320602,0.03828363,1.819184876,0.068583484,0.269184836
0.2,0.237542319,0.022005854,1.552344917,0.146698871,0.34721029
0.2,0.238335311,0.013779664,-0.483468325,0.146037068,0.346512369
0.2,0.233509304,0.021436307,0.351150278,0.142323668,0.343393395
0.2,0.222083395,0.025432123,1.283542772,0.128769687,0.336525791
0.2,0.272775198,0.023111998,0.394456682,0.185961609,0.373036205
0.2,0.239329079,0.028929258,-0.581334768,0.145962095,0.349277836
0.2,0.174984734,0.044008048,2.118676437,0.092027597,0.289126318
0.2,0.196824839,0.017815883,-0.937842296,0.109218227,0.308558116
0.2,0.117884846,0.019547357,-0.90293116,0.052249686,0.213903031
0.2,0.30035366,0.031073685,1.177290647,0.209823371,0.401870328
0.2,0.200477247,0.039078471,2.022326395,0.110471814,0.318565327
0.2,0.167695585,0.017761769,0.405082785,0.087415212,0.272813497
0.2,0.169150412,0.013693681,-2.147383557,0.090531586,0.269983551
0.2,0.180511161,0.023398123,-0.759266923,0.098187625,0.285751028
0.2,0.233348454,0.036051093,1.207496179,0.151917175,0.331424961
0.2,0.189017287,0.036660275,1.295771267,0.109283435,0.293166368
0.2,0.167292444,0.023850449,0.650786957,0.099422492,0.256583173
0.2,0.174439067,0.007679875,-0.855814321,0.085860178,0.292046103
0.2,0.160808215,0.016287152,0.00567043,0.087165261,0.269713321
0.2,0.171479216,0.028555825,-0.040963081,0.104356171,0.258998373
0.2,0.205222591,0.031976089,1.446495546,0.125999068,0.304883409
0.2,0.131118555,0.029487731,0.919484687,0.063600165,0.225132367
0.2,0.205872269,0.01403999,-0.375254905,0.130136169,0.304039694
0.2,0.185879926,0.038773958,2.178737039,0.115519178,0.279247295
0.2,0.286911579,0.028635061,0.394307296,0.190611532,0.396751853
0.2,0.236806225,0.065710235,2.392365005,0.151575566,0.342709694
0.2,0.186756406,0.038816609,1.594414539,0.109316169,0.28922206
0.2,0.15331792,0.032653461,1.875443765,0.076754382,0.267218735
0.25,0.135127901,0.030604847,0.762705504,0.066070643,0.233567369
0.25,0.320125962,0.042170181,1.814854929,0.220292261,0.429867804
0.25,0.29401341,0.02306429,0.074888591,0.182971691,0.414488423
0.25,0.22639942,0.050583729,2.431200848,0.151630841,0.319298607
0.25,0.188042207,0.026595691,0.769885699,0.102097006,0.297671176
0.25,0.215148167,0.051276436,1.58625741,0.140336526,0.305974513
0.25,0.120409764,0.022711231,1.245047971,0.053334511,0.219432562
0.25,0.139915863,0.006626329,-1.968358172,0.061826585,0.250921167
0.25,0.338437291,0.048236891,0.846124092,0.228035762,0.459036489
0.25,0.252784108,0.044491458,1.544166038,0.165210902,0.355768728
0.25,0.247655735,0.028753048,0.077021109,0.154193927,0.355858174
0.25,0.39300444,0.024599285,1.349717871,0.294166077,0.49521678
0.25,0.31219936,0.009642908,-0.191387648,0.220138028,0.415907587
0.25,0.294093042,0.047241297,2.292724846,0.189009699,0.41485593
0.25,0.259884236,0.021642115,0.659343642,0.155742648,0.374837983
0.25,0.194524283,0.021226524,0.241108167,0.106766258,0.302768323
0.25,0.245257451,0.010248277,-1.183874545,0.161388609,0.346449897
0.25,0.157798594,0.00952406,-0.468761218,0.077772639,0.267155526
0.25,0.287663998,0.016067061,-0.890404397,0.186495592,0.404103831
0.25,0.178765001,0.036438834,1.17670385,0.105920816,0.273453012
0.25,0.312087802,0.036011088,1.408065446,0.212796053,0.421735609
0.25,0.238798084,0.02166234,0.822505198,0.155653831,0.340248076
0.25,0.180496397,0.056670798,2.312685189,0.098175649,0.293361196
0.25,0.259090361,0.037098012,1.831479254,0.154582624,0.378450252
0.25,0.158112076,0.029531435,1.018362251,0.088065072,0.251979385
0.25,0.159008382,0.014505083,-0.601877181,0.076141824,0.266584648
0.25,0.319391012,0.059553502,1.651132432,0.213331325,0.432405735
0.25,0.244955852,0.023460928,0.6198152,0.144032013,0.367519102
0.25,0.24510836,0.05662928,2.054900081,0.158084129,0.348034355
0.25,0.227146562,0.044408648,1.355424792,0.145128932,0.324158233
0.25,0.163233371,0.010293982,0.418496971,0.080449786,0.282445352
0.25,0.22626247,0.019391519,0.040789697,0.142080955,0.331641805
0.25,0.28150319,0.051527993,1.656564774,0.185526033,0.391914636
0.25,0.223202209,0.041354876,1.939249067,0.135030413,0.333097578
0.25,0.263731091,0.057809103,2.369187333,0.16459521,0.377597364
0.25,0.280222678,0.04102557,2.343260244,0.192186412,0.382426019
0.25,0.287999196,0.047978312,3.329116767,0.200554733,0.388116574
0.25,0.220825137,0.03157012,1.488243301,0.12934346,0.335416683
0.25,0.313069869,0.033242556,1.160522352,0.206164557,0.427896534
0.25,0.217411418,0.050617674,1.970019204,0.138180731,0.316504301
0.25,0.191854434,0.012903112,0.356890697,0.103316729,0.308324606
