"","lambda_input","K","mu","sd"
"243",0.2,0.996703171519552,1.37108206732517e-18,0.0358459293030334
"244",0.2,0.962753866823404,-8.40149110491965e-19,0.034902997799004
"245",0.2,0.971944240868259,-2.07311991466848e-18,0.0324876949368477
"246",0.2,0.977532753943856,1.68140783414483e-18,0.0334616003540296
"247",0.2,0.931537134213609,-2.07512907681937e-19,0.0346603289384349
"248",0.2,0.960399385203939,-1.0556368333723e-18,0.0345102762390934
"249",0.2,1.07657741817321,9.53496518394693e-19,0.0350547523777288
"250",0.2,0.98917212381459,4.2007074359772e-19,0.0331012272478813
"251",0.25,0.934322386627356,4.04724539472545e-18,0.0437959930566226
"252",0.25,0.998066161176408,6.14682831273205e-18,0.0437114278740704
"253",0.25,0.982764151263922,-1.98223497349399e-18,0.0456220898941756
"254",0.25,1.02064331649784,6.90964839733738e-18,0.0430585959523132
"255",0.25,0.924911484962992,3.72848466205879e-18,0.0443479404520459
"256",0.25,1.12997400833636,-3.41274317833262e-18,0.0437412813868637
"257",0.25,1.01699351961976,5.36821699289106e-18,0.0442148589594577
"258",0.25,0.950032499639104,-6.81048667371879e-18,0.0422765297352054
"259",0.25,0.979753253045884,6.38055646661503e-18,0.0428600597414793
"260",0.25,1.00622602944268,3.53720619960217e-18,0.045571330808364
"261",0.25,1.03085784072488,-7.10348934621768e-19,0.0428578381972949
"262",0.25,1.11210032727837,4.27941373743607e-19,0.04558568673206
"263",0.25,1.05250519039525,-2.23687171216347e-18,0.0436932980625123
"264",0.25,0.961658744756875,-2.25808141716272e-18,0.0431846762246846
"265",0.25,0.993660089825635,3.96433103358462e-18,0.0430015816688361
"266",0.25,0.981591673106501,-3.02165790218994e-18,0.0432684622256359
"267",0.25,0.931767737088299,2.51524061994912e-18,0.0433589036827898
"268",0.25,0.941356569028126,4.48988448416981e-19,0.0421625302013005
"269",0.25,0.967070384498759,-2.10665564311617e-18,0.0419174254852001
"270",0.25,0.927202417890269,-3.03759567412548e-19,0.0449744502797728
"271",0.25,0.956741374728512,-1.26556378495391e-18,0.0439945523749899
"272",0.25,0.985353219891355,1.82492232046402e-18,0.0427384107418086
"273",0.25,0.964386397803319,4.52566315586184e-18,0.043000572856399
"274",0.25,1.00691849683126,6.83403122503715e-20,0.0433448748989391
"275",0.25,1.06772426114465,6.16125328382379e-18,0.0422746467830012
"276",0.25,1.01013650887584,-3.07683701650588e-18,0.0433205086944186
"277",0.25,0.965721506991069,3.43158288514545e-18,0.0429213016629943
