"lambda.in","beta.in","coef..Intercept.","coef.x","aic","log.lik","Pval..Intercept.","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0.3,0,0.805216299670708,0.0263532948842976,2693.58288422365,-1344.79144211182,4.67723011210452e-07,0.395807646505927,0.248258307030453,0.159750248906845,0.351416308127825,8.19715451459299,0.0360994895471796,0.9280188081216
0.3,0.25,0.976976194251712,0.269018282203895,2665.04420099001,-1330.52210049501,1.4378884749533e-09,0,0.257502131658274,0.163358144783527,0.373978353556109,12.1625017308795,0.0484264845588387,1.83446982851885
0.3,0.5,0.966033060739474,0.524602663709996,2651.19491192652,-1323.59745596326,1.78517627347219e-07,0,0.331378408223796,0.228753862487455,0.442505903062512,10.7245826715405,0.0416992009215973,1.39214392155331
0.3,0.75,0.864035099593067,0.78849515615879,2698.33764395614,-1347.16882197807,7.9905437044836e-07,0,0.289522663071575,0.198891483987692,0.394966515607472,12.6060499960156,0.0323930981945278,0.541708859072915
0.3,1,0.826619181434402,0.99322104917362,2794.20501399919,-1395.1025069996,7.88135603446705e-08,0,0.208493508977858,0.127510549583899,0.309299447755858,9.23153520472018,0.0416241950657638,1.39053288618497
0.35,0,1.14675273198943,0.035072227204011,2645.92011390406,-1320.96005695203,2.2485089123947e-07,0.263614732010996,0.374806698279925,0.259805829592675,0.492596541195676,10.5241320209062,0.0348195181804016,1.80782036214752
0.35,0.25,0.750531060619793,0.234648582587454,2626.13067363669,-1311.06533681834,0.000229053374811938,1.88737914186277e-14,0.327244256433299,0.226409785174467,0.435764632190999,8.3523622523753,0.0149082118457776,-0.994655541555951
0.35,0.5,1.1335139611856,0.530554373254169,2643.4222356653,-1319.71111783265,4.64764546848073e-08,0,0.338774280217566,0.240169598544168,0.445076280139966,9.43875997979102,0.0263594781345459,0.916046991677286
0.35,0.75,0.984717975475497,0.775184135086484,2690.44241714545,-1343.22120857272,4.99412282506384e-06,0,0.350617007848903,0.254218836189206,0.453344200465745,15.137353482069,0.0241590058719448,0.568794893597005
0.35,1,0.726497053335708,1.03505795088832,2687.07675097066,-1341.53837548533,0.00467995155752154,0,0.453737120980832,0.346776583685071,0.559091995161398,12.4958353730088,0.0202638659393427,0.0177324999672666
0.4,0,0.900631836989424,0.0452515708512267,2655.25272846695,-1325.62636423348,0.000144865640959946,0.149320986528787,0.346406743707037,0.237905392607912,0.463498362379456,12.3041045357367,0.0249995955930882,0.0912622313243387
0.4,0.25,1.21644694490707,0.237026937254945,2537.26609406061,-1266.6330470303,1.50025922796004e-08,6.75015598972095e-14,0.326920306339788,0.227054633807501,0.435280304230377,11.6024844417486,0.0337004713921326,1.3577122210295
0.4,0.5,1.08164267510922,0.506809842917688,2646.48340258845,-1321.24170129423,1.37451242887554e-05,0,0.377997662658107,0.263684299013894,0.496387945336464,16.6857046514096,0.0699736739448954,4.23129589150504
0.4,0.75,1.20212061883386,0.793968046700965,2686.95440540393,-1341.47720270197,5.35109150856528e-06,0,0.398665419114924,0.300609048441052,0.498516128834403,18.918729757954,0.0456998415661683,2.55733069342613
0.4,1,1.03053215492753,0.986953798329714,2529.21709576042,-1262.60854788021,5.18320863385213e-06,0,0.354635011318871,0.244104592139147,0.471590955841867,10.3350463641654,0.028586949391568,0.58774269389475
0.45,0,0.686205608671518,0.0273963210270275,2559.64022439845,-1277.82011219922,0.00986833510343521,0.373220956262959,0.436453054034716,0.31743162841462,0.552178848781522,10.7522323313134,0.0491973644633088,2.36073522360881
