"lambda.in","beta.in","coef.(Intercept)","coef.x","aic","log.lik","Pval.(Intercept)","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0.55,1,1.23167718665915,0.925992097254451,615.974731193111,-305.987365596555,8.78689891363749e-05,0,0.564037495348958,0.418198698117725,0.69837326931041,11.084062714426,0.0990322522172439,2.75505527219711
0.6,0,1.51380872873488,0.00860172393542843,618.995113732969,-307.497556866484,1.2823122919059e-07,0.928977598724699,0.478691170447021,0.313248931689408,0.648195067753043,11.3996820955248,0.0180705164024612,0.106487340223456
0.6,0.25,1.05083951895395,0.246908340560862,583.643528431415,-289.821764215708,0.0051653841174808,0.00474665974360255,0.717972390868552,0.564494280608092,0.830129577707537,11.1563610107415,0.0655449648457054,1.59556957536961
0.6,0.5,0.79968680729203,0.526378672324075,556.389101354689,-276.194550677345,0.000381506230223039,3.40719230607078e-09,0.410390845031105,0.214625393094398,0.623898401374816,7.56545976315176,0.0565656344906367,1.41150025712313
0.6,0.75,1.25924928030171,0.780890917507749,590.185806762104,-293.092903381052,0.000129819791849561,4.44089209850063e-16,0.619149559650796,0.444649741085456,0.762151620748784,9.28581242430085,0.0518011614055917,1.32588357743388
0.6,1,1.18700547104244,1.02081877979739,607.9045927762,-301.9522963881,8.53829360636382e-05,0,0.537322811530152,0.367697634125214,0.695846120646952,11.1971630942249,0.0444183012788048,1.21079089311255
0.65,0,1.23495190828244,0.0744697139433401,563.947874595464,-279.973937297732,0.000130564139981137,0.362790010117818,0.673417311791954,0.51038847322397,0.79601076574131,12.3593043227289,0.068056630413604,2.79412357345587
0.65,0.25,1.00676276936646,0.1983195002132,576.026024342369,-286.013012171185,0.000116839501929533,0.0229325902969926,0.506036032049253,0.306851814446115,0.686416469964988,7.29588838177447,0.0408706941551532,1.3816975374493
0.65,0.5,1.37799735297819,0.426448645981694,571.182451506927,-283.591225753464,2.50227416016546e-05,5.40230093548644e-07,0.670280595251933,0.463645239667861,0.803130990221356,5.32950705116546,0.0469940287413722,1.62728346606405
0.65,0.75,0.891960748261027,0.577889852488958,566.412665071424,-281.206332535712,0.00221186928853889,3.67879060547693e-11,0.601722347470432,0.427759075213468,0.745913152493789,8.87078910412815,0.0758218387069283,3.04616322716354
0.65,1,0.969287850329984,0.947817684583714,552.179791752866,-274.089895876433,0.00181047500036957,0,0.666194917637871,0.481352215733921,0.803632970845804,8.84066128900415,0.0557244309514962,2.10215579286398
0.7,0,1.02343435323694,-0.0267676983074535,616.496001585195,-306.248000792597,0.000696159783924788,0.770138668204762,0.653900256190415,0.460587317906421,0.79389523612257,8.45795286697576,0.167267097158599,4.90268932839433
0.7,0.25,0.680060923496685,0.354352442793361,553.518656084605,-274.759328042302,0.020747839631434,1.18587035229378e-05,0.727527644880431,0.594547454285693,0.82685570001477,10.5129641968963,0.170235369241628,4.91424959327315
0.7,0.5,1.0549827181845,0.446503828663562,611.32093412358,-303.66046706179,0.000868045528674477,1.155183913637e-06,0.69658255206227,0.533841203540017,0.818366773299554,9.88806011154256,0.152113702663923,4.27535803550968
0.7,0.75,0.99071560905768,0.618423969173158,547.537756860306,-271.768878430153,0.000517179873876117,1.17461596005342e-13,0.710112868422872,0.556883684216852,0.823771676195196,10.2291482425607,0.164255049971595,4.61874577160264
0.7,1,1.34596971043109,1.07304661326853,577.809470003012,-286.904735001506,2.44986425492755e-05,0,0.742244974660773,0.572236522587889,0.853534950485645,7.25925943976909,0.132242099681679,3.41644540320105
